Model,Organization,Publication date,Domain,Confidence,Link,Reference,Authors,Organization categorization,Country (of organization),Notability criteria
Deep rectifier networks,University of Montreal / Université de Montréal,2011-04-13,Vision,confident,https://proceedings.mlr.press/v15/glorot11a.html,Deep sparse rectifier neural networks,"Xavier Glorot, Antoine Bordes, Yoshua Bengio",Academia,Canada,Highly cited
Optimized Single-layer Net,"University of Michigan,Stanford University",2011-04-11,Vision,confident,http://proceedings.mlr.press/v15/coates11a.html,An analysis of single-layer networks in unsupervised feature learning,"A Coates, A Ng, H Lee","Academia,Academia","United States of America,United States of America",Highly cited
YouTube Video Recommendation System,Google,2010-09-26,Recommendation,confident,https://dl.acm.org/doi/10.1145/1864708.1864770,The YouTube Video Recommendation System,"J Davidson, B Liebald, J Liu, P Nandy",Industry,United States of America,Highly cited
RNN LM,Johns Hopkins University,2010-09-26,Language,speculative,https://www.semanticscholar.org/paper/Recurrent-neural-network-based-language-model-Mikolov-Karafi%C3%A1t/9819b600a828a57e1cde047bbe710d3446b30da5,Recurrent neural network based language model,"Tomas Mikolov, M. Karafiát, L. Burget, J. Černocký, S. Khudanpur",Academia,United States of America,Highly cited
Fisher-Boost,Xerox Research Centre Europe (XRCE),2010-09-05,Vision,confident,https://link.springer.com/chapter/10.1007/978-3-642-15561-1_11,Improving the Fisher Kernel for Large-Scale Image Classification,Florent PerronninJorge SánchezThomas Mensink,Industry,France,Highly cited
ReLU (NORB),University of Toronto,2010-06-15,Vision,confident,https://dl.acm.org/doi/10.5555/3104322.3104425,Rectified linear units improve restricted boltzmann machines,"Nair, V., Hinton, G. E.",Academia,Canada,Highly cited
ReLU (LFW),University of Toronto,2010-06-15,Vision,confident,https://dl.acm.org/doi/10.5555/3104322.3104425,Rectified linear units improve restricted boltzmann machines,"Nair, V., Hinton, G. E.",Academia,Canada,Highly cited
Mid-level Features,"INRIA,Ecole Normale Supèrieure,New York University (NYU)",2010-06-13,Vision,confident,https://ieeexplore.ieee.org/document/5539963,Learning mid-level features for recognition,"YL Boureau, F Bach, Y LeCun, J Ponce","Academia,Academia,Academia","France,France,United States of America",Highly cited
Deconvolutional Network,New York University (NYU),2010-06-13,Vision,confident,https://ieeexplore.ieee.org/document/5539957,Deconvolutional Networks,"Matthew D. Zeiler, Dilip Krishnan, Graham W. Taylor and Rob Fergus",Academia,United States of America,Highly cited
Word Representations,"University of Montreal / Université de Montréal,University of Illinois Urbana-Champaign (UIUC)",2010-06-01,Language,confident,https://aclanthology.org/P10-1040.pdf,Word Representations: A Simple and General Method for Semi-Supervised Learning,"Joseph Turian, Lev-Arie Ratinov, Yoshua Bengio","Academia,Academia","Canada,United States of America",Highly cited
Feedforward NN,University of Montreal / Université de Montréal,2010-05-13,Vision,confident,https://proceedings.mlr.press/v9/glorot10a.html,Understanding the difficulty of training deep feedforward neural networks,"X Glorot, Y Bengio",Academia,Canada,Highly cited
6-layer MLP (MNIST),"IDSIA,University of Lugano,SUPSI",2010-03-01,Vision,likely,https://arxiv.org/abs/1003.0358,Deep Big Simple Neural Nets Excel on Handwritten Digit Recognition,"Dan Claudiu Ciresan, Ueli Meier, Luca Maria Gambardella, Juergen Schmidhuber","Academia,Academia,Academia","Switzerland,Switzerland,Switzerland",Highly cited
Stacked Denoising Autoencoders,"University of Montreal / Université de Montréal,University of Toronto",2010-01-03,Other,confident,https://www.jmlr.org/papers/v11/vincent10a.html,Stacked denoising autoencoders: Learning useful representations in a deep network with a local denoising criterion,"P Vincent, H Larochelle, I Lajoie, Y Bengio","Academia,Academia","Canada,Canada",Highly cited
Super-vector coding,"University of Illinois Urbana-Champaign (UIUC),NEC Laboratories,Rutgers University",2010-01-01,Vision,speculative,http://tongzhang-ml.org/papers/eccv10_supervect.pdf,Image Classification using Super-Vector Coding of Local Image Descriptors,"Xi Zhou, Kai Yu, Tong Zhang, and Thomas S. Huang","Academia,Industry,Academia","United States of America,United States of America,United States of America",SOTA improvement
3D city reconstruction,"University of Washington,Microsoft Research,Cornell University",2009-09-29,3D modeling,confident,https://grail.cs.washington.edu/rome/,Building Rome in a Day,"Sameer Agarwal, Noah Snavely, Ian Simon, Steven M. Seitz and Richard Szeliski","Academia,Industry,Academia","United States of America,United States of America,United Kingdom of Great Britain and Northern Ireland,United States of America",Highly cited
BellKor 2007,AT&T,2009-09-21,Recommendation,confident,https://www.semanticscholar.org/paper/The-BellKor-solution-to-the-Netflix-Prize-Bell-Koren/f4ebb542c752a0dc423f94fd121e2edb8f6275ba,The BellKor solution to the Netflix Prize,"RM Bell, Y Koren, C Volinsky",Industry,United States of America,SOTA improvement
MatrixFac for Recommenders,"Yahoo Research,AT&T",2009-08-07,Recommendation,confident,https://ieeexplore.ieee.org/document/5197422,Matrix factorization techniques for recommender systems,"Yehuda Koren, Robert Bell, and Chris Volinsky","Industry,Industry","United States of America,United States of America",Highly cited
Pragmatic Theory solution (Netflix 2009),Pragmatic Theory Inc.,2009-08-01,Recommendation,confident,https://www.asc.ohio-state.edu/statistics/statgen/joul_aut2009/PragmaticTheory.pdf,The Pragmatic Theory solution to the Netflix Grand Prize,"M Piotte, M Chabbert",Industry,Canada,SOTA improvement
BigChaos OptiBlend,AT&T,2009-08-01,Recommendation,confident,https://www.asc.ohio-state.edu/statistics/statgen/joul_aut2009/BigChaos.pdf,The BigChaos Solution to the Netflix Grand Prize,"A Töscher, M Jahrer, RM Bell",Industry,United States of America,SOTA improvement
BellKor 2009,AT&T,2009-08-01,Recommendation,confident,https://www2.seas.gwu.edu/~simhaweb/champalg/cf/papers/KorenBellKor2009.pdf,The BellKor Solution to the Netflix Grand Prize,Y Koren,Industry,United States of America,Historical significance
BellKor 2008,AT&T,2009-08-01,Recommendation,confident,https://cseweb.ucsd.edu/classes/fa17/cse291-b/reading/ProgressPrize2008_BellKor.pdf,The BellKor 2008 Solution to the Netflix Prize,"RM Bell, Y Koren, C Volinsky",Industry,United States of America,SOTA improvement
GPU DBNs,Stanford University,2009-06-15,Other,confident,https://dl.acm.org/doi/abs/10.1145/1553374.1553486?utm_campaign=The+Batch&utm_source=hs_email&utm_medium=email&_hsenc=p2ANqtz-95Z7-X4Dl-RJK6gYKvjyDIrYaGhBeqWoc0ldqyPEKni0Ip6UE7452hr-ygY52z00LBpYgM,Large-scale Deep Unsupervised Learning using Graphics Processors,"R Raina, A Madhavan, AY Ng",Academia,United States of America,Highly cited
Conv-DBN,Stanford University,2009-06-14,Vision,confident,https://dl.acm.org/doi/10.1145/1553374.1553453,Convolutional deep belief networks for scalable unsupervised learning of hierarchical representations,"H Lee, R Grosse, R Ranganath, AY Ng",Academia,United States of America,Highly cited
Deep Boltzmann Machines,University of Toronto,2009-04-16,Other,confident,https://www.sciencedirect.com/topics/computer-science/deep-boltzmann-machine,Deep Boltzmann Machines,"Ruslan Salakhutdinov, Geoffrey Hinton",Academia,Canada,Highly cited
RBM Image Classifier,University of Toronto,2009-04-08,Vision,likely,https://www.cs.toronto.edu/~kriz/learning-features-2009-TR.pdf,Learning Multiple Layers of Features from Tiny Images,Alex Krizhevsky,Academia,Canada,Highly cited
Semantic Hashing,University of Toronto,2008-12-10,Language,confident,https://www.cs.cmu.edu/~rsalakhu/papers/sdarticle.pdf,Semantic Hashing,"R Salakhutdinov, G Hinton",Academia,Canada,Highly cited
HLBL,University of Toronto,2008-12-08,Language,confident,https://www.semanticscholar.org/paper/A-Scalable-Hierarchical-Distributed-Language-Model-Mnih-Hinton/a9fc84f8abe740cdc7ee82e69444d1d00dbe0ceb,A Scalable Hierarchical Distributed Language Model,"A. Mnih, Geoffrey E. Hinton",Academia,Canada,Highly cited
ADAPTIVE NLPM,University of Toronto,2008-12-08,Language,confident,https://papers.nips.cc/paper_files/paper/2008/file/1e056d2b0ebd5c878c550da6ac5d3724-Paper.pdf,A Scalable Hierarchical Distributed Language Model,"Andriy Mnih, Geoffrey Hinton",Academia,Canada,Highly cited
BigChaos 2008,AT&T,2008-11-25,Recommendation,confident,https://www.asc.ohio-state.edu/statistics/statgen/joul_aut2009/BigChaos.pdf,The BigChaos Solution to the Netflix Prize 2008,"A Töscher, M Jahrer",Industry,United States of America,Historical significance
Sparse digit recognition SVM,University of Lubeck,2008-11-19,Vision,confident,https://pubmed.ncbi.nlm.nih.gov/19000969/,Simple method for high-performance digit recognition based on sparse coding,"Kai Labusch, Erhadt Barth, Thomas Martinetz",Academia,Germany,SOTA improvement
Boss (DARPA Urban Challenge),Carnegie Mellon University (CMU),2008-07-23,Driving,confident,https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.20255,Autonomous driving in urban environments: Boss and the Urban Challenge,"Chris Urmson, Joshua Anhalt, Drew Bagnell,Christopher Baker, Robert Bittner,M. N. Clark, John Dolan, Dave Duggins,Tugrul Galatali, Chris Geyer,Michele Gittleman, Sam Harbaugh,Martial Hebert, Thomas M. Howard,Sascha Kolski, Alonzo Kelly,Maxim Likhachev, Matt McNaughton,Nick Miller, Kevin Peterson, Brian Pilnick,Raj Rajkumar, Paul Rybski, Bryan Salesky,Young-Woo Seo, Sanjiv Singh, Jarrod Snider,Anthony Stentz, William “Red” Whittaker,Ziv Wolkowicki, and Jason Ziglar",Academia,United States of America,Highly cited
Semi-Supervised Embedding for DL,"Google,NUANCE Communications,IDIAP,University of Illinois Urbana-Champaign (UIUC)",2008-07-05,Other,confident,https://dl.acm.org/doi/10.1145/1390156.1390303,Deep Learning via Semi-Supervised Embedding,"Jason Weston, Frederick, Ratle, Hossein Mobahi, Ronan Collobert","Industry,Industry,Academia,Academia","United States of America,United States of America,Switzerland,United States of America",Highly cited
Denoising Autoencoders,University of Montreal / Université de Montréal,2008-07-05,Other,confident,https://dl.acm.org/doi/10.1145/1390156.1390294,Extracting and Composing Robust Features with Denoising Autoencoders,"Pascal Vincent, Hugo Larechelle, Yoshua Bengio, Pierre- Antoine Manzagol",Academia,Canada,Highly cited
Deep Multitask NLP Network,NEC Laboratories,2008-07-05,Language,speculative,http://icml2008.cs.helsinki.fi/papers/391.pdf,"A Unified Architecture for Natural Language Processing: Deep Neural Networks with Multitask Learning
","Ronan Collobert, Jason Weston",Industry,United States of America,"Highly cited,SOTA improvement"
Multiscale deformable part model,"UC Irvine,University of Chicago,Toyota Technological Institute at Chicago",2008-06-23,Vision,confident,https://ieeexplore.ieee.org/abstract/document/4587597,"A discriminatively trained, multiscale, deformable part model","Pedro Felzenszwalb, David McAllester, Deva Ramanan","Academia,Academia,Academia","United States of America,United States of America,United States of America",Highly cited
BLSTM for handwriting (2),"University of Bern,IDSIA,Technical University of Munich",2007-12-03,Vision,confident,https://proceedings.neurips.cc/paper/2007/hash/4b0250793549726d5c1ea3906726ebfe-Abstract.html,Unconstrained online handwriting recognition with recurrent neural networks,"Alex Graves, Marcus Liwicki, Horst Bunke, Jürgen Schmidhuber, Santiago Fernández","Academia,Academia,Academia","Switzerland,Switzerland,Germany",SOTA improvement
Enhanced Neighborhood-Based Filtering,AT&T,2007-10-28,Recommendation,confident,https://ieeexplore.ieee.org/abstract/document/4470228,Scalable Collaborative Filtering with Jointly Derived Neighborhood Interpolation Weights,"RM Bell, Y Koren",Industry,United States of America,SOTA improvement
BLSTM for handwriting (1),"University of Bern,IDSIA,Technical University of Munich",2007-09-23,Vision,confident,https://people.idsia.ch//~juergen/icdar_2007.pdf,A Novel Approach to On-Line Handwriting Recognition Based on Bidirectional Long Short-Term Memory Networks,"M Liwicki, A Graves, S Fernàndez","Academia,Academia,Academia","Switzerland,Switzerland,Germany",SOTA improvement
Regularized SVD for Collaborative Filtering,Warsaw University,2007-08-12,Recommendation,confident,https://www.semanticscholar.org/paper/Improving-regularized-singular-value-decomposition-Paterek/f732d0f69fe4e84a95c32706b28b9e4ef1753c61,Improving regularized singular value decomposition for collaborative filtering,A Paterek,Academia,Poland,Highly cited
Fisher Kernel GMM,Xerox,2007-07-16,Vision,likely,https://ieeexplore.ieee.org/document/4270291,Fisher kernels on visual vocabularies for image categorization,"Florent Perronnin, Christopher Dance",Industry,United States of America,Highly cited
SB-LM,Google,2007-06-22,Language,likely,https://www.semanticscholar.org/paper/Large-Language-Models-in-Machine-Translation-Brants-Popat/ba786c46373892554b98df42df7af6f5da343c9d,Large Language Models in Machine Translation,"T. Brants, Ashok Popat, P. Xu, F. Och, J. Dean",Industry,United States of America,"Training cost,Highly cited"
KN-LM,Google,2007-06-22,Language,likely,https://www.semanticscholar.org/paper/Large-Language-Models-in-Machine-Translation-Brants-Popat/ba786c46373892554b98df42df7af6f5da343c9d,Large Language Models in Machine Translation,"T. Brants, Ashok Popat, P. Xu, F. Och, J. Dean",Industry,United States of America,"Training cost,Highly cited"
Restricted Bolzmann machines,University of Toronto,2007-06-20,Recommendation,confident,https://dl.acm.org/doi/abs/10.1145/1273496.1273596?casa_token=cfdkH2x12MwAAAAA:sEUzfllIGyPcOfzgUoDPHlpC1ukfCAo8ewocBXWBswIIF9eS5HdFo30nOtfmIV8gm-XpBpQJJ5zYVO8,Restricted Boltzmann machines for collaborative filtering,"Russ Salukhutdinov, Andriy Mnih, GE Hinton",Academia,Canada,Highly cited
λ-WASP,UT Austin,2007-06-01,Language,confident,https://www.aclweb.org/anthology/P07-1121/,Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus,"YW Wong, R Mooney",Academia,United States of America,SOTA improvement
Empirical evaluation of deep architectures,University of Montreal / Université de Montréal,2007-06-01,Other,confident,https://dl.acm.org/doi/10.1145/1273496.1273556,An empirical evaluation of deep architectures on problems with many factors of variation,"Hugo Larechelle, Dumithru Erhan, Aaron C Courville, James Bergsta, Yoshua Bengio",Academia,Canada,Highly cited
Sparse Energy-Based Model,New York University (NYU),2006-12-04,Vision,confident,https://papers.nips.cc/paper/2006/hash/87f4d79e36d68c3031ccf6c55e9bbd39-Abstract.html,Efficient Learning of Sparse Representations with an Energy-Based Model,"M Ranzato, C Poultney, S Chopra, Y Cun",Academia,United States of America,Highly cited
Greedy layer-wise DNN training,University of Montreal / Université de Montréal,2006-12-04,Other,confident,https://dl.acm.org/doi/10.5555/2976456.2976476,Greedy layer-wise training of deep networks,"Y Bengio, P Lamblin, D Popovici",Academia,Canada,Highly cited
Local Binary Patterns for facial recognition,"University of Oulu,IEEE",2006-12-01,Vision,confident,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.456.1094&rep=rep1&type=pdf,Face Description with Local Binary Patterns: Application to Face Recognition,"Timo Ahonen, Abdenour Hadid, and Matti Pietikainen","Academia,Industry","Finland,Multinational",Highly cited
Sparse Vision Encoding,Stanford University,2006-11-01,Vision,likely,https://proceedings.neurips.cc/paper_files/paper/2006/file/2d71b2ae158c7c5912cc0bbde2bb9d95-Paper.pdf,Efficient sparse coding algorithms,"Honglak Lee, Alexis Battle, Rajat Raina, Andrew Y. Ng",Academia,United States of America,Highly cited
Dimensionality Reduction,University of Toronto,2006-07-18,Vision,confident,https://www.cs.toronto.edu/~hinton/science.pdf,Reducing the dimensionality of data with neural networks.,"GE Hinton, RR Salakhutdinov",Academia,Canada,Highly cited
Deep Belief Nets,"University of Toronto,National University of Singapore",2006-07-18,Vision,confident,https://www.cs.toronto.edu/~hinton/absps/fastnc.pdf,A fast learning algorithm for deep belief nets,"GE Hinton, S Osindero, YW Teh","Academia,Academia","Canada,Singapore",Highly cited
CTC-Trained LSTM,"IDSIA,Technical University of Munich",2006-06-25,Speech,confident,https://www.cs.toronto.edu/~graves/icml_2006.pdf,Connectionist Temporal Classification: Labelling Unsegmented Sequence Data with Recurrent Neural Networks,"Alex Graves, Santiago Fernández, Faustino Gómez, Jürgen Schmidhuber","Academia,Academia","Switzerland,Germany",Highly cited
Spatial Pyramid Matching,"INRIA,University of Illinois Urbana-Champaign (UIUC),Ecole Normale Supèrieure",2006-06-17,Vision,confident,https://inc.ucsd.edu/mplab/users/marni/Igert/Lazebnik_06.pdf,Beyond Bags of Features: Spatial Pyramid Matching for Recognizing Natural Scene Categories,"S Lazebnik, C Schmid, J Ponce","Academia,Academia,Academia","France,United States of America,France",Highly cited
DrLIM,New York University (NYU),2006-06-17,Other,confident,https://ieeexplore.ieee.org/document/1640964,Dimensionality Reduction by Learning an Invariant Mapping,R. Hadsell; S. Chopra; Y. LeCun,Academia,United States of America,Highly cited
FAST,University of Cambridge,2006-05-07,Video,confident,https://link.springer.com/chapter/10.1007/11744023_34,Machine Learning for High-Speed Corner Detection,Edward Rosten and Tom Drummond,Academia,United Kingdom of Great Britain and Northern Ireland,Highly cited
TFE SVM,"Centre de Recherche en Automatique de Nancy (CRAN),CENPARMI",2006-02-02,Vision,confident,https://hal.archives-ouvertes.fr/hal-00018426/en,A trainable feature extractor for handwritten digit recognition,"Fabian Lauer, Ching Y Suen, Gerard Bloch","Academia,Academia","France,Canada",SOTA improvement
Stanley (DARPA Grand Challenge 2),Stanford University,2006-01-01,Driving,confident,http://robots.stanford.edu/papers/thrun.stanley05.pdf,Stanley: The Robot that Won the DARPA Grand Challenge,"S Thrun, M Montemerlo, H Dahlkamp",Academia,United States of America,Highly cited
Monocular Depth Prediction,Stanford University,2005-12-05,Vision,speculative,https://papers.nips.cc/paper_files/paper/2005/file/17d8da815fa21c57af9829fb0a869602-Paper.pdf,Learning Depth from Single Monocular Images,"Ashutosh Saxena, Sung H. Chung, and Andrew Y. Ng",Academia,United States of America,Highly cited
RankNet,"Microsoft Research,Microsoft",2005-08-07,Search,confident,https://dl.acm.org/doi/abs/10.1145/1102351.1102363,Learning to rank using gradient descent,"Chris Burges, Tal Shaked, Erin Renshaw, Ari Lazier, Matt Deeds, Nicole Hamilton, Greg HullenderAuthors Info & Claims","Industry,Industry","United States of America,United Kingdom of Great Britain and Northern Ireland,United States of America",Highly cited
BiLSTM for Speech,"IDSIA,Technical University of Munich",2005-08-01,Speech,confident,https://www.sciencedirect.com/science/article/abs/pii/S0893608005001206,Framewise phoneme classification with bidirectional LSTM and other neural network architectures,"A Graves, J Schmidhuber","Academia,Academia","Switzerland,Germany",Highly cited
Histograms of Oriented Gradients,INRIA,2005-06-25,Vision,confident,https://ieeexplore.ieee.org/document/1467360,Histograms of oriented gradients for human detection,"N Dalal, B Triggs",Academia,France,Highly cited
ConvNet similarity metric,New York University (NYU),2005-06-20,Vision,confident,https://ieeexplore.ieee.org/document/1467314,"Learning a similarity metric discriminatively, with application to face verification","S Chopra, R Hadsell, Y LeCun",Academia,United States of America,Highly cited
Hiero,University of Maryland,2005-06-01,Language,confident,https://aclanthology.org/P05-1033/,A Hierarchical Phrase-Based Model for Statistical Machine Translation,David Chiang,Academia,United States of America,Highly cited
SACHS,"Massachusetts Institute of Technology (MIT),Stanford University",2005-04-22,Biology,confident,https://science.sciencemag.org/content/308/5721/523.long,Causal Protein-Signaling Networks Derived from Multiparameter Single-Cell Data.,"K. Sachs, O. Perez, D. Pe'er, D. A. Lauffenburger and G. P. Nolan","Academia,Academia","United States of America,United States of America",Highly cited
Hierarchical LM,Google,2005-01-06,Language,confident,https://www.semanticscholar.org/paper/Hierarchical-Probabilistic-Neural-Network-Language-Morin-Bengio/c19fbefdeead6a4154a22a9c8551a18b1530033a,Hierarchical Probabilistic Neural Network Language Model,"Frederic Morin, Yoshua Bengio",Industry,United States of America,Highly cited
LMICA,Google,2004-12-01,Vision,confident,https://www.semanticscholar.org/paper/Linear-Multilayer-Independent-Component-Analysis-Matsuda-Yamaguchi/7061b01572fbff2e223ce3abb59f397895b1ebf1,"Linear Multilayer Independent Component Analysis for Large Natural Scenes
","Yoshitatsu Matsuda, K. Yamaguchi",Industry,United States of America,"Training cost,Historical significance"
Invariant CNN,New York University (NYU),2004-06-27,Vision,confident,https://www.semanticscholar.org/paper/Learning-methods-for-generic-object-recognition-to-LeCun-Huang/f354310098e09c1e1dc88758fca36767fd9d084d,Learning methods for generic object recognition with invariance to pose and lighting,"Yann LeCun, Fu Jie Huang, L. Bottou",Academia,United States of America,"Highly cited,Historical significance"
Max-Margin Markov Networks,Stanford University,2004-03-01,"Vision,Language",confident,https://papers.nips.cc/paper/2003/file/878d5691c824ee2aaf770f7d36c151d6-Paper.pdf,Max-margin markov networks,"B. Taskar, C. Guestrin, and D. Koller",Academia,United States of America,Highly cited
CNN Best Practices,Microsoft Research,2003-08-06,Vision,confident,https://ieeexplore.ieee.org/document/1227801,Best practices for convolutional neural networks applied to visual document analysis,"PY Simard, D Steinkraus, JC Platt",Industry,"United States of America,United Kingdom of Great Britain and Northern Ireland",Highly cited
Unsupervised Scale-Invariant Learning,University of Oxford,2003-06-18,Vision,confident,https://ieeexplore.ieee.org/document/1211479,Object Class Recognition by Unsupervised Scale-Invariant Learning,"R Fergus, P Perona, A Zisserman",Academia,United Kingdom of Great Britain and Northern Ireland,Highly cited
Phrase-based translation,University of Southern California,2003-05-01,Language,confident,https://dl.acm.org/doi/10.3115/1073445.1073462,Statistical Phrase-Based Translation,"Philipp Koehn, Franz Josef Och, Daniel Marcu",Academia,United States of America,Highly cited
NPLM,University of Montreal / Université de Montréal,2003-03-15,Language,confident,https://dl.acm.org/doi/10.5555/944919.944966,A Neural Probabilistic Language Model,"Yoshua Bengio, Réjean Ducharme, Pascal Vincent, Christian Jauvin",Academia,Canada,Highly cited
LDA,Stanford University,2003-02-02,Language,confident,https://jmlr.org/papers/volume3/blei03a/blei03a.pdf,Latent Dirichlet Allocation,"David M. Blei, Andrew Y. Ng, Michael I. Jordan",Academia,United States of America,Highly cited
Statistical Shape Constellations,California Institute of Technology,2003-01-01,Vision,confident,https://link.springer.com/content/pdf/10.1007/3-540-45054-8_2.pdf,Unsupervised Learning of Models for Recognition,"M. Weber, M. Welling, and P. Perona",Academia,United States of America,Historical significance
Maximum Entropy Models for machine translation,"University of Southern California,RWTH Aachen University",2002-07-06,Language,confident,https://aclanthology.org/P02-1038/,Discriminative Training and Maximum Entropy Models for Statistical Machine Translation,Franz Josef Och and Hermann Ney,"Academia,Academia","United States of America,Germany",Highly cited
Tagging via Viterbi Decoding,AT&T,2002-06-01,Language,confident,https://dl.acm.org/doi/10.3115/1118693.1118694,Discriminative Training Methods for Hidden Markov Models: Theory and Experiments with Perceptron Algorithms,Michael Collins,Industry,United States of America,Highly cited
NEAT,IDSIA,2002-06-01,Other,confident,https://direct.mit.edu/evco/article/10/2/99/1123/Evolving-Neural-Networks-through-Augmenting,Evolving Neural Networks through Augmenting Topologies ,"Justin Bayer, Daan Wierstra, Julian Togelius, Jürgen Schmidhuber",Academia,Switzerland,Highly cited
Thumbs Up?,"Cornell University,IBM",2002-05-28,Language,confident,https://arxiv.org/abs/cs/0205070,Thumbs up? Sentiment Classification using Machine Learning Techniques,"Bo Pang, Lillian Lee, Shivakumar Vaithyanathan","Academia,Industry","United States of America,United States of America",Highly cited
Decision tree (classification),"Mitsubishi Electric Research Labs,Compaq CRL",2001-12-08,Vision,confident,https://www.cs.cmu.edu/~efros/courses/LBMV07/Papers/viola-cvpr-01.pdf,Rapid object detection using a boosted cascade of simple features,"P. Viola, M. Jones","Industry,Industry","United States of America,United States of America",Highly cited
Gradient Boosting Machine,Stanford University,2001-10-01,Mathematics,confident,https://projecteuclid.org/journals/annals-of-statistics/volume-29/issue-5/Greedy-function-approximation-A-gradient-boostingmachine/10.1214/aos/1013203451.full,Greedy function approximation: A gradient boosting machine,Jerome H. Friedman,Academia,United States of America,Highly cited
Immediate trihead,Brown University,2001-07-06,Language,confident,https://dl.acm.org/doi/10.3115/1073012.1073029,Immediate-Head Parsing for Language Models,Eugene Charniak,Academia,United States of America,SOTA improvement
PoE MNIST,University College London (UCL),2000-11-28,Vision,confident,https://proceedings.neurips.cc/paper_files/paper/2000/file/1f1baa5b8edac74eb4eaa329f14a0361-Paper.pdf,Recognizing Hand-written Digits Using Hierarchical Products of Experts,"Guy Mayraz, Geoffrey E. Hinton",Academia,United Kingdom of Great Britain and Northern Ireland,Historical significance
Neural LM,University of Montreal / Université de Montréal,2000-11-28,Language,confident,https://papers.nips.cc/paper_files/paper/2000/file/728f206c2a01bf572b5940d7d9a8fa4c-Paper.pdf,A Neural Probabilistic Language Model,"Yoshua Bengio, Réjean Ducharme, Pascal Vincent, Christian Janvin",Academia,Canada,"Training cost,Historical significance,Highly cited"
FrameNet role labeling,University of Rochester,2000-09-01,Language,confident,https://dl.acm.org/doi/10.1162/089120102760275983,Automatic Labeling of Semantic Roles,"Daniel Gildea, Daniel Jurafsky",Academia,United States of America,Highly cited
SVD in recommender systems,University of Minnesota,2000-07-14,Recommendation,confident,http://robotics.stanford.edu/~ronnyk/WEBKDD2000/papers/sarwar.pdf,Application of Dimensionality Reduction in Recommender System -- A Case Study,"B Sarwar, G Karypis, J Konstan, J Riedl",Academia,United States of America,Highly cited
Perceptron for Large Margin Classification,"University of California San Diego,Shannon Laboratory,AT&T",1999-12-01,Vision,confident,https://link.springer.com/article/10.1023/A:1007662407062,Large Margin Classification Using the Perceptron Algorithm,Yoav Freund & Robert E. Schapire,"Academia,Industry","United States of America,United States of America,United States of America",Highly cited
IBM Model 4,"University of Southern California,IBM,University of Pennsylvania",1999-07-02,Language,confident,http://www-i6.informatik.rwth-aachen.de/publications/download/266/al-onaizan--1999.pdf,Statistical machine translation,"Yaser Al-Onaizan, Jan Curin, Michael Jahr, Kevin Knight, John Lafferty, Dan Melamed, Franz-Josef Och, David Purdy, Noah A. Smith, and David Yarowsky","Academia,Industry,Academia","United States of America,United States of America,United States of America",Highly cited
LSTM with forget gates,IDSIA,1999-01-02,Language,confident,https://ieeexplore.ieee.org/document/818041,Learning to forget: Continual prediction with LSTM,"F. A. Gers, J. Schmidhuber, and F. Cummins",Academia,Switzerland,Highly cited
LeNet-5,AT&T,1998-11-01,Vision,confident,http://vision.stanford.edu/cs598_spring07/papers/Lecun98.pdf,Gradient-based Learning Applied to Document Recognition,"Yann LeCun, Léon Bottou, Yoshua Bengio, Patrick Haffner",Industry,United States of America,"Historical significance,Highly cited"
Social and content-based classification,"AT&T,Bell Laboratories,Rutgers University",1998-07-01,Recommendation,confident,https://www.aaai.org/Papers/AAAI/1998/AAAI98-101.pdf,Recommendation as Classification: Using Social and Content-based Information in Recommendation,"C Basu, H Hirsh, W Cohen","Industry,Industry,Academia","United States of America,United States of America,United States of America",Highly cited
Sparse coding model for V1 receptive fields,"UC Davis,Cornell University",1997-12-01,Vision,confident,https://www.sciencedirect.com/science/article/pii/S0042698997001697,Sparse coding with an overcomplete basis set: A strategy employed by V1?,"Bruno A. Olshausen, David J. Field","Academia,Academia","United States of America,United States of America",Highly cited
LSTM,Technical University of Munich,1997-11-15,Language,confident,https://direct.mit.edu/neco/article-abstract/9/8/1735/6109/Long-Short-Term-Memory?redirectedFrom=fulltext,Long short-term memory,Sepp Hochreiter ; Jurgen Schmidhuber,Academia,Germany,Highly cited
Bidirectional RNN,Advanced Telecommunications Research Institute,1997-11-01,Speech,confident,https://ieeexplore.ieee.org/document/650093,Bidirectional recurrent neural networks,"M. Schuster, KK Paliwal",Industry,Japan,Highly cited
SVM for face detection,Massachusetts Institute of Technology (MIT),1997-06-17,Vision,confident,https://ieeexplore.ieee.org/document/609310,Training Support Vector Machines: An Application to Face Detection,"E. Osuna, R. Freund, F. Girosi",Academia,United States of America,Highly cited
Deep Blue,IBM,1997-05-01,Games,speculative,https://www.sciencedirect.com/science/article/pii/S0004370201001291,Deep Blue,"Murray Campbell, A. Joseph Hoane Jr., Feng-hsiung Hsu",Industry,United States of America,"Historical significance,Highly cited"
HMM Word Alignment,University of Erlangen - Nuremburg,1996-08-05,Language,confident,https://dl.acm.org/doi/10.3115/993268.993313,HMM-Based Word Alignment in Statistical Translation,"Stephan Vogel, Hermann Ney, Christoph Tillmann",Academia,Germany,Highly cited
